"Entity","Code","Year","disr","homi","educ","fom","drogas","disr_log","homi_log","educ_log","fom_log","drogas_log"
"Australia","AUS",2000,31.1,1.8986840179112,527.502067041136,2.5,4.035072563,3.43720781918519,0.641161024046858,6.26815278390394,0.916290731874155,1.3950242849555
"Australia","AUS",2003,30.6,1.73123056680996,525.05449901,2.5,3.792891906,3.42100000895834,0.548832465943196,6.26350206484208,0.916290731874155,1.33312876401436
"Australia","AUS",2009,31.9,1.20980503278894,527.270534026533,2.5,3.616519496,3.4626060097908,0.190459216699333,6.26771376412264,0.916290731874155,1.28551209814017
"Brazil","BRA",2003,55.7,25.6614767508452,389.61963651,6.9,3.606366587,4.01998014693324,3.24499090822696,5.96517097221797,1.93152141160321,1.28270077990248
"Brazil","BRA",2006,53.7,23.8535443936115,390.331570738221,3.9,3.594250555,3.98341300151482,3.17193281818416,5.96699655930427,1.3609765531356,1.27933550073385
"Brazil","BRA",2009,51.8,22.8419264190528,405.403988763084,2.5,3.609780308,3.94739014926544,3.12859772532268,6.00488407304962,0.916290731874155,1.28364691398326
"Brazil","BRA",2012,50.2,26.4528021384897,404.710529258465,2.5,3.652532309,3.91601502669768,3.27536209365665,6.0031720689846,0.916290731874155,1.2954207103257
"Canada","CAN",2000,31.7,1.77643165180846,529.360251768407,2.5,3.932609571,3.45631668088323,0.574606662228243,6.27166920531274,0.916290731874155,1.36930321849919
"Canada","CAN",2003,31.6,1.73581436537204,518.74516355,2.5,3.912159077,3.45315712059287,0.551476678131105,6.25141274822434,0.916290731874155,1.36408941520062
"Canada","CAN",2006,31.8,1.86243223909415,534.469777292383,2.5,3.885114899,3.45946628978613,0.621883288915332,6.28127518497941,0.916290731874155,1.35715255841445
"Canada","CAN",2009,31.6,1.80527685977476,528.704953213355,2.5,3.840738563,3.45315712059287,0.590713964939345,6.27043053186284,0.916290731874155,1.34566468222038
"Canada","CAN",2012,31.8,1.57016885475523,525.460969751711,2.5,3.816801721,3.45946628978613,0.451183164376554,6.26427591496439,0.916290731874155,1.33941282612094
"Finland","FIN",2000,24.9,2.85276237992858,537.741256910606,2.5,3.981809952,3.21486780347066,1.04828778097045,6.287377509365,0.916290731874155,1.38173647773258
"Finland","FIN",2003,25.6,1.97049876384682,548.22500161,2.5,4.113298787,3.24259235148552,0.678286690323021,6.30668578955985,0.916290731874155,1.4142253311515
"Finland","FIN",2006,26.2,2.25482561102932,563.32283387828,2.5,4.185882082,3.26575941076705,0.813072635609117,6.33385288098942,0.916290731874155,1.43171745401404
"Finland","FIN",2009,25.5,2.24607806693537,554.079510006501,2.5,4.136911697,3.23867845216438,0.809185613920289,6.31730819631662,0.916290731874155,1.41994954255725
"Finland","FIN",2012,25.5,1.62572187593525,545.441939987881,2.5,4.08354774,3.23867845216438,0.485951948484938,6.30159636512256,0.916290731874155,1.40696615469924
"France","FRA",2000,29.53,1.76318020401253,500.486317527093,2.5,2.549588027,3.38540669575583,0.567119112606563,6.21558026077339,0.916290731874155,0.935931788079213
"France","FRA",2003,28.98,1.6300551921494,511.22545748,2.5,2.600259371,3.36660593689254,0.488613874459783,6.23681070127564,0.916290731874155,0.955611198128853
"France","FRA",2006,29.49,1.42711291129021,495.219838638056,2.5,2.65697437,3.38405122282718,0.355653460305068,6.205001782438,0.916290731874155,0.977188020513613
